Epoch,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss
1,0.89,0.504,0.98,0.338
2,0.98,0.344,0.99,0.317
3,0.99,0.319,1,0.304
4,0.99,0.316,1,0.302
5,0.99,0.314,0.99,0.304
6,0.99,0.315,1,0.299
7,0.99,0.311,1,0.3
8,0.99,0.31,1,0.298
9,1,0.305,1,0.298
10,1,0.302,1,0.295
11,1,0.301,1,0.296
12,0.99,0.306,1,0.297
13,0.99,0.306,1,0.299
14,1,0.301,1,0.295
15,1,0.301,1,0.296
16,1,0.302,0.99,0.309
17,1,0.303,1,0.294
18,1,0.303,1,0.295
19,1,0.301,1,0.297
20,1,0.302,1,0.293
