Epoch,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss
1,0.905,0.479,0.972,0.361
2,0.981,0.344,0.989,0.335
3,0.992,0.32,0.989,0.323
4,0.992,0.319,0.988,0.324
5,0.993,0.313,0.989,0.318
6,0.996,0.306,0.994,0.308
7,0.996,0.304,0.988,0.314
8,0.995,0.304,0.986,0.32
9,0.997,0.303,0.986,0.32
10,0.996,0.305,0.995,0.304
11,0.998,0.301,0.994,0.305
12,0.995,0.305,0.998,0.3
13,0.996,0.303,0.997,0.301
14,0.998,0.3,0.997,0.298
15,0.998,0.299,0.998,0.297
16,0.995,0.303,0.997,0.3
17,0.996,0.302,0.998,0.297
18,0.997,0.3,0.997,0.301
19,0.997,0.3,0.998,0.297
20,0.998,0.298,0.995,0.3
